Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
MOZ,2018,BM.GSR.ROYL.CD,2862442.76
MOZ,2017,BM.GSR.ROYL.CD,15615001.38
MOZ,2016,BM.GSR.ROYL.CD,19003105.27
MOZ,2015,BM.GSR.ROYL.CD,26793739.52
MOZ,2014,BM.GSR.ROYL.CD,19574342.62
MOZ,2013,BM.GSR.ROYL.CD,24529769.7972946
MOZ,2012,BM.GSR.ROYL.CD,8054486.93
MOZ,2011,BM.GSR.ROYL.CD,4721835.26
MOZ,2010,BM.GSR.ROYL.CD,3807426.9274
MOZ,2009,BM.GSR.ROYL.CD,3554354.5755
MOZ,2008,BM.GSR.ROYL.CD,1906090.57194171
MOZ,2007,BM.GSR.ROYL.CD,2361670.8721
MOZ,2006,BM.GSR.ROYL.CD,2338960
MOZ,2005,BM.GSR.ROYL.CD,5656758.83
MOZ,2021,IP.PAT.NRES,16
MOZ,2020,IP.PAT.NRES,14
MOZ,2019,IP.PAT.NRES,24
MOZ,2018,IP.PAT.NRES,13
MOZ,2017,IP.PAT.NRES,26
MOZ,2016,IP.PAT.NRES,25
MOZ,2015,IP.PAT.NRES,30
MOZ,2014,IP.PAT.NRES,46
MOZ,2013,IP.PAT.NRES,30
MOZ,2012,IP.PAT.NRES,26
MOZ,2011,IP.PAT.NRES,15
MOZ,2010,IP.PAT.NRES,25
MOZ,2009,IP.PAT.NRES,17
MOZ,2008,IP.PAT.NRES,14
MOZ,2007,IP.PAT.NRES,26
MOZ,2006,IP.PAT.NRES,17
MOZ,2005,IP.PAT.NRES,14
MOZ,2004,IP.PAT.NRES,4
MOZ,2003,IP.PAT.NRES,16
MOZ,2002,IP.PAT.NRES,9
MOZ,2001,IP.PAT.NRES,1
MOZ,2000,IP.PAT.NRES,8
MOZ,1999,IP.PAT.NRES,18
MOZ,2021,IP.PAT.RESD,30
MOZ,2020,IP.PAT.RESD,26
MOZ,2019,IP.PAT.RESD,23
MOZ,2018,IP.PAT.RESD,34
MOZ,2017,IP.PAT.RESD,24
MOZ,2016,IP.PAT.RESD,15
MOZ,2015,IP.PAT.RESD,24
MOZ,2014,IP.PAT.RESD,14
MOZ,2013,IP.PAT.RESD,13
MOZ,2012,IP.PAT.RESD,14
MOZ,2011,IP.PAT.RESD,8
MOZ,2010,IP.PAT.RESD,15
MOZ,2009,IP.PAT.RESD,7
MOZ,2008,IP.PAT.RESD,2
MOZ,2007,IP.PAT.RESD,18
MOZ,2006,IP.PAT.RESD,1
MOZ,1999,IP.PAT.RESD,2
